Hospital,Especialidade,Nota_Prova,Nota_Curriculo,Total
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,clínica médica,61.2,9.9,71.1
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,clínica médica,62.4,7.2,69.6
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,clínica médica,60,8.5,68.5
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,clínica médica,61.2,7,68.2
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,clínica médica,55.2,8.3,63.5
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,clínica médica,55.2,7.6,62.8
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,clínica médica,55.2,6,61.2
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,clínica médica,51.6,7,58.6
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,clínica médica,48,6.7,54.7
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,clínica médica,45.6,5.6,51.2
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,73.2,8,81.2
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,66,9.8,75.8
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,64.8,8.3,73.1
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,64.8,3,67.8
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,56.4,9.5,65.9
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,56.4,7.5,63.9
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,55.2,7.5,62.7
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,58.8,3.45,62.25
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,54,8,62
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,51.6,8.1,59.7
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,54,5.15,59.15
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,52.8,6.15,58.95
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,49.2,8.2,57.4
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,46.8,8.3,55.1
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,50.4,4,54.4
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,obstetrícia e ginecologia,48,4.75,52.75
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,pediatria,61.2,10,71.2
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,pediatria,54,9.6,63.6
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,pediatria,55.2,7.2,62.4
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,pediatria,57.6,2.35,59.95
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,pediatria,50.4,5.3,55.7
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,pediatria,46.8,7.7,54.5
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,pediatria,50.4,3.5,53.9
Associação Beneficente Católica / Hospital Santa Isabel - Ubá,pediatria,46.8,6.5,53.3
Associação Hospitalar Santa Rosália,cirurgia geral,64.8,5.7,70.5
Associação Hospitalar Santa Rosália,cirurgia geral,60,8.2,68.2
Associação Hospitalar Santa Rosália,cirurgia geral,62.4,5.75,68.15
Associação Hospitalar Santa Rosália,cirurgia geral,63.6,4,67.6
Associação Hospitalar Santa Rosália,cirurgia geral,55.2,7.5,62.7
Associação Hospitalar Santa Rosália,cirurgia geral,56.4,6,62.4
Associação Hospitalar Santa Rosália,cirurgia geral,56.4,4.5,60.9
Associação Hospitalar Santa Rosália,cirurgia geral,54,4.95,58.95
